metric,estimate,conditional_lower,conditional_upper,n_evaluable,bootstrap_replicates,seed
sensitivity,0.9446219382321619,0.9297124600638977,0.9584664536741214,2046,2000,20260905
specificity,0.973803071364047,0.96386630532972,0.982836495031617,2046,2000,20260905
balanced_accuracy,0.9592125047981044,0.9503692015088415,0.9674909665763325,2046,2000,20260905
AUROC,0.9885932583145497,0.9838150678276395,0.9928286016086997,2046,2000,20260905
AUPRC,0.9890499170435318,0.9849294831936458,0.9928847563213238,2046,2000,20260905
Brier,0.030732305205024808,0.025326322233972548,0.03661989963643857,2046,2000,20260905
