,n,n,AUROC_HBOCpred,AUROC_HBOCpred,AUROC_comparator,AUROC_comparator,AUPRC_HBOCpred,AUPRC_HBOCpred,AUPRC_comparator,AUPRC_comparator
,mean,std,mean,std,mean,std,mean,std,mean,std
comparator,,,,,,,,,,
AlphaMissense,2015.0,0.0,0.990620560390626,0.0013140514614787492,0.9620461898451584,0.0,0.9907425041588868,0.001305635764629816,0.964255331060893,0.0
BayesDel addAF,2046.0,0.0,0.9908615230987239,0.0013008653126149374,0.9629937477933528,0.0,0.991183120661989,0.0012962009970237,0.9618390002593209,0.0
MetaLR,2046.0,0.0,0.9908615230987239,0.0013008653126149374,0.8773479445834573,0.0,0.991183120661989,0.0012962009970237,0.8583733086101232,0.0
REVEL,2046.0,0.0,0.9908615230987239,0.0013008653126149374,0.9359247426340078,0.0,0.991183120661989,0.0012962009970237,0.9405702948787458,0.0
VARITY_R,1662.0,0.0,0.9905974208213013,0.0010973300474639276,0.9563255981166427,0.0,0.9925393051058448,0.0009856020633207175,0.9626977438096882,0.0
