repeat,n_total,n_evaluable,TP,TN,FP,FN,sensitivity,specificity,PPV,NPV,F1,MCC,balanced_accuracy,AUROC,AUPRC,Brier,cal_intercept,cal_slope
1,1998,1985,852,1054,27,52,0.9424778761061947,0.9750231267345051,0.9692832764505119,0.9529837251356239,0.9556926528323051,0.9198809155766657,0.9587505014203499,0.9884499357363306,0.9888517387142689,0.03064561666760285,-0.07092136754102818,0.9653349967972331
2,1998,1985,851,1056,25,53,0.9413716814159292,0.9768732654949122,0.9714611872146118,0.9522091974752029,0.9561797752808989,0.9209536705788274,0.9591224734554207,0.991138162795838,0.9917767404174934,0.029291470103158915,-0.01861981350237515,1.0097858610720196
3,1998,1985,856,1053,28,48,0.9469026548672567,0.9740980573543015,0.9683257918552036,0.9564032697547684,0.9574944071588367,0.9228630041099044,0.9605003561107791,0.9913325910947746,0.9907588084015132,0.02946980271566557,-0.11607528592650261,0.9748578737950614
4,1998,1985,854,1061,20,50,0.9446902654867256,0.9814986123959297,0.977116704805492,0.954995499549955,0.9606299212598425,0.9291458209628345,0.9630944389413276,0.9917265642268303,0.992117819238799,0.028206802848719462,0.005233624154313416,1.0280933010246351
5,1998,1985,852,1051,30,52,0.9424778761061947,0.9722479185938946,0.9659863945578231,0.9528558476881233,0.9540873460246361,0.9167817080649217,0.9573628973500447,0.9909058721439507,0.991281135920309,0.029759227428498954,-0.0802427988796024,0.9675817731562761
