repeat,n_total,n_evaluable,TP,TN,FP,FN,sensitivity,specificity,PPV,NPV,F1,MCC,balanced_accuracy,AUROC,AUPRC,Brier,cal_intercept,cal_slope
1,2160,2046,887,1078,29,52,0.9446219382321619,0.973803071364047,0.9683406113537117,0.9539823008849557,0.9563342318059299,0.9203718973999595,0.9592125047981044,0.9885932583145497,0.9890499170435318,0.03073230520502481,-0.10135262204157174,0.9679734791580451
2,2160,2046,886,1080,27,53,0.9435569755058573,0.975609756097561,0.9704271631982475,0.9532215357458076,0.9568034557235421,0.9214049900875059,0.9595833658017091,0.9912773107141791,0.991977474828246,0.029312140862982068,-0.05219171839170337,1.0134775905550992
3,2160,2046,891,1078,29,48,0.9488817891373802,0.973803071364047,0.9684782608695652,0.9573712255772646,0.9585798816568047,0.9242658190409895,0.9613424302507136,0.9914591336186702,0.9909850499073006,0.02940467751219683,-0.14771598005462663,0.9801600085591475
4,2160,2046,889,1086,21,50,0.946751863684771,0.981029810298103,0.9769230769230769,0.9559859154929577,0.9616008653326122,0.9303418009836089,0.963890836991437,0.9918805009846334,0.9923507661825377,0.028014190458879092,-0.023131470881707635,1.036115759727694
5,2160,2046,887,1075,32,52,0.9446219382321619,0.971093044263776,0.9651795429815017,0.9538598047914818,0.9547900968783638,0.9173756592906832,0.9578574912479689,0.9910974118615874,0.9915523953483292,0.02946499967195382,-0.10840409955674596,0.9751327471536588
