analysis,n_total,n_evaluable,TP,TN,FP,FN,sensitivity,specificity,PPV,NPV,F1,MCC,balanced_accuracy,AUROC,AUPRC,Brier,cal_intercept,cal_slope
"Primary, repeat 1",2160,2046,887,1078,29,52,0.9446219382321619,0.973803071364047,0.9683406113537117,0.9539823008849557,0.9563342318059299,0.9203718973999595,0.9592125047981044,0.9885932583145497,0.9890499170435318,0.03073230520502481,-0.10135262204157174,0.9679734791580451
Reliability_index included,2160,2046,892,1077,30,47,0.9499467518636848,0.9728997289972899,0.9674620390455532,0.958185053380783,0.9586243954862977,0.9242457258569485,0.9614232404304874,0.989129106768526,0.989512889965914,0.030220131206674737,-0.10257287833606095,0.9688164760856957
BayesDel addAF and AlphaMissense excluded,2160,2046,894,1073,34,45,0.952076677316294,0.969286359530262,0.9633620689655172,0.9597495527728086,0.9576861274772362,0.9222369148722974,0.960681518423278,0.9895793349129799,0.9903920938261815,0.030507493389317866,-0.07215028691747356,0.9812259173869253
"Current transcript missense subset, refitted",2120,2019,864,1080,27,48,0.9473684210526315,0.975609756097561,0.9696969696969697,0.9574468085106383,0.9584026622296173,0.9250586329342592,0.9614890885750962,0.99016921821265,0.9906452341968803,0.029447664974834663,-0.06649907456620054,0.9719174633212999
Primary predictions in current-missense subset,2120,2019,860,1078,29,52,0.9429824561403509,0.973803071364047,0.9673790776152981,0.9539823008849557,0.9550249861188229,0.9190706052369069,0.958392763752199,0.988373429055928,0.9886637027966071,0.03112114180876703,-0.11723602804223168,0.9609806419750977
